Mrs. Brandy Shields,1578
Brandon Vincent,1641
Charles Weaver,506
Brad Oliver,2247
Michael Schultz,3057
Sandra Mcdonald,1054
Patrick Kirk,2804
Lisa Smith,680
Frank Johnson,1819
Frank Sanchez,698
Robert Lucas,3347
Robert Moore,1255
Ashley Bush,3247
Cynthia Sanders,1141
Ian Carpenter,1793
Gregory Braun,474
Daniel Thompson,2458
Tammy Moore,2571
Ryan Brown,2644
Janice Johnson,1903
Dawn Powell,1291
Christopher Smith,2890
Rebecca Welch,3430
Regina Lewis,1791
Joshua Thompson,2978
Christopher Griffith,585
Joshua Morgan,2323
Chad Bush,1054
Heidi Garcia,2068
James Wilkins,530
Steven Lambert,2091
Andrew King,405
Cynthia Burke,3051
Charles Smith,2626
Ann Phillips,1479
Patrick Wright,1798
Adam Lloyd,2067
Rebecca Robertson,634
Stanley Williams,2586
Tina Bradshaw,1847
Mario Finley,2730
Wesley Mahoney,2160
Ryan Hayes,896
Brian Smith,1019
Elizabeth Holt,2850
Michelle Wong,2054
Amber Williams,1464
Tiffany Turner,1992
Sarah Vargas,2832
Sara Singh,1350
Dean Gregory,3312
Rebecca Rodriguez,3153
Francisco Rojas,1833
Lauren Wilson,2746
Gary Allen,3078
Samantha Payne,3433
Ashley Paul,3046
Elizabeth Soto,1702
Joseph Taylor,2276
David Ayala,3428
Gary Bell,650
Lisa Pierce,3498
Gregory Hanson,2633
Richard Tran,1498
Craig Wilson,1634
Richard Prince,874
Daniel Sharp,991
Nathan Heath MD,1061
Nathan Mcbride,707
Robert Bishop,1069
James Holloway,3494
Michele Anderson,3378
Shelia Lopez,1159
William Nguyen,2341
Joshua Hamilton,1329
Amy Martin,2885
Sheena Williams,2901
Tracy Miller,2079
Beverly Brooks,946
Thomas Delgado,2235
Heidi Dyer,2441
Gloria Griffith,954
Jonathan Phillips,2710
Richard Richard,1804
Laura Little,2475
Thomas Bailey,2587
William Moore,2205
Daisy Velazquez,2038
Stacy Espinoza,1431
Amanda Farrell,2001
Jerry Farrell,1983
Chase Brown,2291
Raymond Sims,2663
Catherine Palmer,2302
Joanna Roy,2686
Paige Weber,2230
Devon Oliver,2922
Sheena Brooks,2312
Brenda Lawrence,1641
Andrew Robbins,659
Theresa Walker,2340
Ashley Francis,1754
Julia Garcia,1096
Heather Schultz,3353
Catherine Warren,690
Brian Haynes,1749
Erika Shields,1864
James Fisher,649
Christine Carrillo,2041
Morgan Malone,3355
Emily Wilson,2034
Mark Smith,3496
Maurice Willis,527
Mark Thompson,3037
Rebekah Holland,435
Larry Reed,1626
Teresa Dennis,787
Rachel Vasquez,2995
Joel Wright,2096
Thomas Lewis,3299
Margaret Berg,1676
Jared Moore,2982
Janet Rivas,3114
Jocelyn Rowland,1258
Jennifer Hughes,865
Cody Beasley,1915
Robert Taylor,572
Jennifer Cummings DDS,561
Fernando Bradford,1229
Kim Sandoval,731
Juan Carlson,799
Maria Diaz,980
Denise Gutierrez,1834
Amy Stark,849
Mary Boyer,1334
Elizabeth Smith,2505
Marvin Garcia,2584
Gregory Miller,945
Mindy Farrell,989
Victoria Harris,1521
Mary Johnson,2467
Sheila Cuevas,2610
Gail Sanders,3262
Heather Floyd,2061
Clifford Glenn,2666
Sabrina Haney,2175
Darren Christensen,1343
Jeffrey Walls,3227
Mr. Corey Adams,1975
Jane Rodriguez,467
Rebecca Ramos,2028
Gina Martin,958
Jonathan Pratt,453
Richard Simpson,2659
Denise Jones,1621
Christopher Beard,960
Micheal Ramirez,1704
Tiffany Martin,2155
Nancy Ballard,2680
Alexa Jackson,2908
Donna Reilly,1910
Jason Crawford,3234
Dawn Rodriguez,1620
Craig Williams,597
Gene Anderson,2276
Brandon Harris,1426
Jenny Howard,1542
Megan Green,582
John Moody,3410
Desiree Diaz,1198
Andrea Larson,1620
Robert Molina,439
Dr. Karen Keller MD,2130
Maria Watkins,1153
Craig Miller,3352
Ryan Goodman,2267
Morgan Rose,972
Alexander Bridges,2313
Cristian Jackson DDS,673
Jillian Roberts,2788
Steven Fernandez,891
Nicholas Mcconnell,444
Paul Thomas,861
Deanna Wagner,3298
Natasha Zimmerman,3317
Jorge Doyle,405
Meghan Williams,2575
Austin Cook,2362
Adam Reeves,2768
Claudia Lopez,2697
Gregory Mcbride,3494
Katie Thompson,440
Amanda Mccarty,2740
Samantha Robles,2953
Traci Patel,871
Chris Gonzalez,1872
Dawn Thomas,1794
Rita Montes,719
Daniel Johnson,3025
Danielle White,1978
Andrew Beltran,2114
Teresa Brown,2346
Lauren Roberts,2594
Meghan Mata,1867
Carla Duffy,1812
Felicia Howell,3176
Olivia Vasquez,3450
Danielle Bowman,2741
Mark Mitchell,3044
Robert Moore,2888
Brian Webb,3216
Albert Berg,3109
Joseph Perez,1298
Lynn Ray,2283
Gordon Steele,817
Shelley Sanchez,861
Heather Hodge,1618
Rachel Smith,3200
Amanda Mitchell,2716
Dawn Harper,1597
Cheryl Simon,569
Carrie Gomez,1478
Debra Turner,2361
Tiffany Porter,1599
Andrea Ochoa,1040
Kyle Garcia,1111
Ebony Green,756
Deborah Johnson,1355
Charles Smith,632
Jonathan Hanson,3253
Elizabeth Jones,1672
Victoria Morrow,2490
Brett Smith,1060
Kelly Smith,2126
Pamela Boyd,1460
Candace Oconnell,1009
Miranda Dean,2076
Tara Burton,2223
Laura Marquez,1058
Brenda Baker,2821
